trade_id,book,symbol,side,expiry,K,lots,lot,entry_ts,exit_ts,exit_reason,dte_entry,fill_source,hedge_frequency,hedge_underlying,ce_sym,pe_sym,ce_open_mid,pe_open_mid,ce_open_fill,pe_open_fill,ce_close_mid,pe_close_mid,straddle_open,straddle_close,pnl_opt,pnl_hedge,costs,pnl,iv_entry,rv_forecast,vrp_var,vrp_pts,rv_windows,sold_var,path_real_var,remaining_var,notes
index-short-NIFTY-2026052210-2026-06-02,index,NIFTY,short,2026-06-02,23850.0,12,65,2026-05-22 10:00:00,2026-05-29 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-02Jun26-23850-CE,NSE-NIFTY-02Jun26-23850-PE,231.65,277.0,230.49175,275.615,192.95,87.25,506.10675000000003,281.60099999999994,175114.48500000007,-44895.670679800736,4337.527666700889,125881.28665349845,0.14735231943796248,0.08522542212313514,0.014449333467680766,6.212689731482735,"5,20",0.0006675307185477877,0.00014646181858285245,0.0005210688999649352,"ATM-F K=23850.00 short lots=12 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-TCS-2026052510-2026-06-30,stock,TCS,short,2026-06-30,2320.0,1,175,2026-05-25 10:00:00,2026-06-02 09:00:00,running_hot,36,mid+slip/mid+slip,1h,TCS_spot_proxy,NSE-TCS-30Jun26-2320-CE,NSE-TCS-30Jun26-2320-PE,65.3,84.1,64.9735,83.67949999999999,120.6,30.3,148.653,151.65449999999998,-525.2624999999988,-3386.383878573433,175.71767189328358,-4087.3640504667155,0.25759795905324306,0.17388004860163678,0.036122437206688715,8.371791045160629,"5,20",0.006581925399047521,0.003016473129057621,0.0035654522699899004,"ATM-F K=2320.00 short lots=1 hedge=1h/TCS_spot_proxy windows=[5, 20]"
stock-short-ITC-2026051910-2026-06-30,stock,ITC,short,2026-06-30,310.0,1,1600,2026-05-19 10:00:00,2026-06-03 09:00:00,em_stress,42,mid+slip/mid+slip,1h,ITC_spot_proxy,NSE-ITC-30Jun26-310-CE,NSE-ITC-30Jun26-310-PE,11.6,6.6,11.542,6.566999999999999,5.3,8.65,18.108999999999998,14.019749999999998,6542.799999999999,23088.184246602108,244.53341071625078,29386.450835885855,0.22292029685299647,0.1562941937851746,0.025265583738070356,6.662610306782188,"5,20",0.005745416431911926,0.0023885246690638247,0.0033568917628481014,"ATM-F K=310.00 short lots=1 hedge=1h/ITC_spot_proxy windows=[5, 20]"
stock-long-INFY-2026052510-2026-06-30,stock,INFY,long,2026-06-30,1180.0,1,400,2026-05-25 10:00:00,2026-06-03 09:00:00,variance_harvest,36,mid+slip/mid+slip,1h,INFY_spot_proxy,NSE-INFY-30Jun26-1180-CE,NSE-INFY-30Jun26-1180-PE,36.0,45.3,36.17999999999999,45.52649999999999,50.8,24.2,81.70649999999998,74.625,-2832.599999999991,13107.374944988094,242.0538748369383,10032.721070151165,0.27490820533707955,0.31908658335979656,-0.026241726318574507,-4.417837802271701,"5,20",0.007496240739671237,0.007882319373407796,-0.0003860786337365595,"ATM-F K=1180.00 long lots=1 hedge=1h/INFY_spot_proxy windows=[5, 20]"
index-long-NIFTY-2026052910-2026-06-09,index,NIFTY,long,2026-06-09,23950.0,58,65,2026-05-29 10:00:00,2026-06-05 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-09Jun26-23950-CE,NSE-NIFTY-09Jun26-23950-PE,396.85,204.85,398.83425,205.87424999999996,396.85,204.85,604.7085,598.6915,-22684.08999999977,-151711.8730083414,32612.914671098195,-207008.87767943938,0.1312586372325724,0.1421101589660516,-0.0029664674332044137,-1.0851521733479197,"5,20",0.000529679402701001,0.0003766229935265379,0.00015305640917446313,"ATM-F K=23950.00 long lots=58 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-AXISBANK-2026052010-2026-06-30,stock,AXISBANK,short,2026-06-30,1240.0,1,625,2026-05-20 10:00:00,2026-06-11 15:00:00,iv_crush,41,mid+slip/mid+slip,1h,AXISBANK_spot_proxy,NSE-AXISBANK-30Jun26-1240-CE,NSE-AXISBANK-30Jun26-1240-PE,45.65,36.1,45.421749999999996,35.9195,90.0,9.6,81.34125,100.09799999999998,-11722.968749999989,10824.682244743995,594.2351002617226,-1492.5216055177161,0.24595077232835677,0.16065942790422522,0.03468033063440225,8.529134442413156,"5,20",0.006828270441891579,0.0027530686648767006,0.004075201777014878,"ATM-F K=1240.00 short lots=1 hedge=1h/AXISBANK_spot_proxy windows=[5, 20]"
stock-short-BAJFINANCE-2026051810-2026-06-30,stock,BAJFINANCE,short,2026-06-30,900.0,1,125,2026-05-18 10:00:00,2026-06-12 09:00:00,iv_crush,43,mid+slip/mid+slip,1h,BAJFINANCE_spot_proxy,NSE-BAJFINANCE-30Jun26-900-CE,NSE-BAJFINANCE-30Jun26-900-PE,35.5,35.25,35.3225,35.07375,12.0,44.8,70.39625,57.08399999999999,1664.0312500000007,-2868.5184918425484,87.45628575418208,-1291.9435275967298,0.31408427078648615,0.27139374998228494,0.024994361626031775,4.2690520804201215,"5,20",0.011675594797947664,0.004950862630737398,0.006724732167210265,"ATM-F K=900.00 short lots=1 hedge=1h/BAJFINANCE_spot_proxy windows=[5, 20]"
stock-short-KOTAKBANK-2026052010-2026-06-30,stock,KOTAKBANK,short,2026-06-30,380.0,1,400,2026-05-20 10:00:00,2026-06-12 09:00:00,iv_crush,41,mid+slip/mid+slip,1h,KOTAKBANK_spot_proxy,NSE-KOTAKBANK-30Jun26-380-CE,NSE-KOTAKBANK-30Jun26-380-PE,14.45,11.95,14.377749999999999,11.89025,8.4,9.0,26.268,17.487,3512.400000000001,117.05632712877298,124.28317682592352,3505.1731503028504,0.25946062648175505,0.22524649526867865,0.016583833063481934,3.4214131213076397,"5,20",0.0075990142161778025,0.002962614454254074,0.004636399761923728,"ATM-F K=380.00 short lots=1 hedge=1h/KOTAKBANK_spot_proxy windows=[5, 20]"
index-short-NIFTY-2026060510-2026-06-16,index,NIFTY,short,2026-06-16,23450.0,12,65,2026-06-05 10:00:00,2026-06-12 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-16Jun26-23450-CE,NSE-NIFTY-16Jun26-23450-PE,355.75,185.0,353.97125,184.075,355.75,185.0,538.04625,543.4537499999999,-4217.849999999933,-111500.63298136304,6399.186581736954,-122117.66956309993,0.15248199885347508,0.09633863103770385,0.013969628144132341,5.614336781577123,"5,20",0.0007148163145206071,0.0002840671944044069,0.0004307491201162002,"ATM-F K=23450.00 short lots=12 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-ICICIBANK-2026051910-2026-06-30,stock,ICICIBANK,short,2026-06-30,1250.0,1,700,2026-05-19 10:00:00,2026-06-15 09:00:00,em_stress,42,mid+slip/mid+slip,1h,ICICIBANK_spot_proxy,NSE-ICICIBANK-30Jun26-1250-CE,NSE-ICICIBANK-30Jun26-1250-PE,38.75,34.6,38.55625,34.427,99.0,1.2,72.98325,100.701,-19402.424999999996,26518.421053239123,790.195874459789,6325.800178779338,0.21894130346189236,0.15369147915885295,0.02431422359555631,6.524982430303941,"5,20",0.005542142463549388,0.0029157144824517056,0.0026264279810976825,"ATM-F K=1250.00 short lots=1 hedge=1h/ICICIBANK_spot_proxy windows=[5, 20]"
