date,n_index_open,n_stock_open,pnl_index,pnl_stock,pnl_opt,pnl_hedge,costs,pnl,equity,drawdown,span,elm,posted_margin
2026-07-06,0,3,0.0,8673.987500000008,8673.987500000008,-7410.2672739692,711.1596192146397,552.5606068161688,-4086627.591643586,-4848653.4231430795,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-07,0,3,0.0,8673.987500000008,8673.987500000008,-7029.347807614901,794.8048059623984,849.8348864227087,-4085777.756757163,-4847803.588256657,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-08,0,3,0.0,8673.987500000008,8673.987500000008,2632.4962879486375,943.2130514251941,10363.270736523451,-4075414.4860206395,-4837440.317520134,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-09,0,3,0.0,9091.614887939377,9091.614887939377,-479.0393965702351,1072.3850116429871,7540.190479726154,-4067874.2955409135,-4829900.127040408,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-10,0,3,0.0,13061.483684703424,13061.483684703424,1098.3843518790454,1137.2061916530017,13022.661844929467,-4054851.633695984,-4816877.465195478,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-13,0,4,0.0,12731.08125000001,12731.08125000001,6678.585897859671,1227.1182648331142,18182.548883026568,-4036669.0848129573,-4798694.9163124515,159189.24765341415,8997.536338137656,168186.7839915518
2026-07-14,1,4,-5089.889999999973,7471.081250000008,2381.1912500000353,5659.214123807257,2043.8141765941914,5996.591197213102,-4030672.493615744,-4792698.325115238,258801.63091771223,26670.699700741276,285472.3306184535
2026-07-15,1,4,16802.110000000008,13769.831250000008,30571.941250000018,-2407.9821843470827,2469.501311225299,25694.457754427636,-4004978.0358613166,-4767003.867360811,258801.63091771223,26670.699700741276,285472.3306184535
2026-07-16,1,4,36276.11000000003,17589.83125000001,53865.94125000004,-8763.955862423682,2568.8162348043693,42533.16915277199,-3962444.8667085445,-4724470.698208039,258801.63091771223,26670.699700741276,285472.3306184535
2026-07-17,1,4,1634.587499999995,21914.83125000001,23549.418750000004,-2831.619120821186,2257.09110692939,18460.708522249428,-3943984.158186295,-4706009.989685789,273462.8533344424,31065.980075840813,304528.83341028326
2026-07-20,1,6,51489.58750000002,16600.30625000001,68089.89375000003,-21423.79148289364,6253.028637618258,40413.073629488135,-3903571.084556807,-4665596.916056301,326127.28154010477,32770.34266778775,358897.6242078925
2026-07-21,0,5,0.0,16329.40625000002,16329.40625000002,-9672.357575557231,1515.3582685297183,5141.69040591307,-3898429.3941508937,-4660455.225650388,199753.8993044945,10214.0350599637,209967.9343644582
2026-07-22,1,3,-2261.8537499999748,-1848.6812499999917,-4110.534999999966,-205.30542525593387,1423.1565468885065,-5738.996972144407,-3904168.3911230383,-4666194.222622532,242822.82946832568,85627.317274909,328450.14674323465
2026-07-23,1,4,-2261.8537499999748,-1489.0249999999921,-3750.878749999967,2648.952727967295,2796.4949036800044,-3898.4209257126768,-3908066.812048751,-4670092.643548245,246149.7152644404,86182.84790582139,332332.5631702618
2026-07-24,1,4,-2261.8537499999748,4107.225000000006,1845.3712500000315,-6797.15700399937,4348.407567984296,-9300.193321983636,-3917367.0053707347,-4679392.836870229,246149.7152644404,86182.84790582139,332332.5631702618
2026-07-27,1,4,-2261.8537499999748,12511.293750000004,10249.440000000031,-87652.05016033954,4693.479747791607,-82096.0899081311,-3999463.0952788657,-4761488.926778359,258791.03381151514,87141.63669441493,345932.6705059301
2026-07-28,1,6,-2261.8537499999748,12665.718750000005,10403.865000000033,-103258.52363487988,5312.9003222716765,-98167.55895715152,-4097630.6542360173,-4859656.485735511,313624.52816924994,87330.75691116949,400955.2850804194
2026-07-29,1,7,-14004.704999999505,12893.531250000005,-1111.1737499994977,-21363.87128167914,4072.1548127868646,-26547.199844465504,-4124177.854080483,-4886203.685579977,8079208.008226372,430877.0438645241,8510085.052090896
2026-07-30,1,6,-14004.704999999505,13667.306250000009,-337.3987499994955,-33736.35850847162,7922.911355035256,-41996.66861350637,-4166174.5226939893,-4928200.3541934835,8063239.803883183,429362.72444501816,8492602.5283282
2026-07-31,1,6,-14004.704999999505,38091.05625,24086.3512500005,-81290.76957336314,13703.498594358305,-70907.91691772094,-4237082.439611711,-4999108.271111205,8063239.803883183,429362.72444501816,8492602.5283282
2026-08-03,1,7,-14004.704999999505,36131.90625,22127.2012500005,-796983.0436265867,20625.419664402143,-795481.2620409883,-5032563.701652699,-5794589.533152193,8176949.64741653,434928.20807678887,8611877.85549332
2026-08-04,1,8,-14004.704999999505,36801.13125000001,22796.426250000506,-422654.72516435257,41933.72240332852,-441792.0213176806,-5474355.7229703795,-6236381.554469874,8256094.843869425,435828.22358975856,8691923.067459185
2026-08-05,1,8,-14004.704999999505,35294.88125000001,21290.176250000506,-485614.64031988685,43298.915938996935,-507623.3800088833,-5981979.102979263,-6744004.934478758,8256094.843869425,435828.22358975856,8691923.067459185
2026-08-06,1,8,8054.75124999998,34557.7886196664,42612.539869666376,-36875.40880621692,2257.8024307647406,3479.328632684718,-5978499.774346579,-6740525.6058460735,504850.4020832755,20106.7910178237,524957.1931010992
2026-08-07,1,8,26349.00124999996,39622.18477872385,65971.18602872381,-36412.916667971396,3161.496946281466,26396.772414470946,-5952103.001932108,-6714128.8334316015,504850.4020832755,20106.7910178237,524957.1931010992
2026-08-10,1,6,61036.25124999997,17230.761261454732,78267.0125114547,-18334.56664754208,3373.9721291102014,56558.473734802414,-5895544.528197305,-6657570.3596968,420480.1445592104,18250.99511656688,438731.1396757773
2026-08-11,1,6,82372.50124999997,19586.25201195318,101958.75326195316,-20897.845008019307,4887.728086548901,76173.18016738495,-5819371.34802992,-6581397.179529414,420480.1445592104,18250.99511656688,438731.1396757773
2026-08-12,1,6,82372.50124999997,21048.520381695165,103421.02163169514,-14372.231850103437,6570.61659550384,82478.17318608786,-5736893.174843832,-6498919.006343326,420480.1445592104,18250.99511656688,438731.1396757773
2026-08-13,0,6,0.0,21914.619424096854,21914.619424096854,-27084.382162394228,1425.118856657293,-6594.881594954666,-5743488.056438787,-6505513.8879382815,267235.85621547577,9154.062383111941,276389.9185985877
2026-08-14,1,6,-7158.449999999948,21481.67533896825,14323.2253389683,-25680.961390744247,2677.3340653289715,-14035.070117104919,-5757523.126555892,-6519548.958055386,493941.87715778116,31917.745027398618,525859.6221851798
